,mineral_name,2v,art & architecture thesaurus id (p1014),babelnet id (p2581),birefringence,caption,class,cleavage,colour,commons category (p373),crystal system (p556),dana,dana 8th edition (p714),density,described by source (p1343),description,diaphaneity,dispersion,elhuyar zth id (p4746),encyclopædia britannica online id (p1417),encyclopædia universalis id (p3219),fluorescence,fracture,freebase id (p646),google knowledge graph id (p2671),gran enciclopèdia catalana id (p1296),gravity,great russian encyclopedia online id (p2924),habit,"ima number, broad sense (p484)",ima status and/or rank (p579),kbpedia id (p8408),kivid.info id (p7348),luster,microsoft academic id (p6366),mindat mineral id (p6263),mohs,mohs' hardness (p1088),molweight,name,named after (p138),"nickel-strunz '10th ed', review of (9th ed/ 2009 update) (p713)",nickel-strunz 9th edition (updated 2009) (p712),opticalprop,other,pleochroism,refractive,solid solution series with (p2155),solubility,space group (p690),store norske leksikon id (p4342),streak,streak color (p534),strunz,"strunz 8th edition (series id, updated) (p711)",subclass of (p279),symmetry,system,tenacity,twinning,type locality (geology) (p2695),unit cell,wolfram language entity code (p4839)
30,aguilarite,,,,,"Aguilarite - San Carlos Mine, La Luz, [[Guanajuato, Guanajuato|Guanajuato municipality]], Mexico. Specimen height is 3.9 cm.",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small> {{sfn|Bindi|Pingitore|2013|p|=|21}},None observed,,Aguilarite,orthorhombic crystal system (Q648961),2.4.1.3,,,"Aguilarite, a new species (Q57317468)",,Opaque,,,,,Non-fluorescent,[[Fracture (mineralogy)#Hackly fracture|Hackly]],/m/026csmj,,,,,,,grandfathered mineral (G) (Q13406846),,,Metallic,2776948914,"['59', '11737']",2.5 1–1.5 {{sfn|Bindi|Pingitore|2013|p|=|21}},,,Aguilarite [Agu],Ponciano Aguilar (Q86630395),2.BA.55,2.BA.30b,,,,,,,,,Gray-black,,2.BA.55,II/B.05,eucairite mineral group (Q3777577),''P''2<sub>1</sub>/n {{sfn|Bindi|Pingitore|2013|p|=|21}},[[Monoclinic]],[[Sectile]],,San Carlos Mine (Q86630103),"a = 4.2478(2), b =6.9432(3) <br/>c = 8.0042(5)&nbsp;[Å] <br/>β = 100.103(2)° <br/>Z&nbsp;=&nbsp;4 {{sfn|Bindi|Pingitore|2013|p|=|21}}","Entity[""Mineral"", ""Aguilarite""]"
31,aheylite,,,,,"Size: 3.5×2.3×0.8 cm. Translucent ~0.2 cm spheres of aheylite are perched on dark cassiterite, together with elongated quartz crystals.",[[Phosphate minerals]],"Perfect {001}, {010} good",,Aheylite,triclinic crystal system (Q376927),,42.9.3.5,,,,Transparent in thin flakes,,,,,,Hackly to splintery,/m/026csrn,,,2.84,,"Interlocked crystals in felted and matted aggregates forming botryoidal, spherulitic masses; radiating, prismatic groups",IMA1984-036,approved mineral and/or valid name (A) (Q13406835),,,Porcelaneous to subvitreous,,"['60', '11739']",5 to 5.5,,,Aheylite [Ahe],Allen V. Heyl (Q18697311),8.DD.15,8.DD.15,Biaxial (+),,,~1.63,,,"['triclinic-pedial (Q13364996)', 'space group P-1 (Q104519742)']",,White to greenish white,,8.DD.15,VII/D.15,turquoise mineral group (Q3777846),,[[Triclinic]] <br/>Unknown space group,Brittle,,Huanuni tin mine (Q5926087),"a = 7.885, b = 10.199 <br/>c = 7.672&nbsp;[Å]; α = 110.84° <br/>β = 115.12°, γ = 67.51°; Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Aheylite""]"
32,ahlfeldite,,,,,"Alfredopetrovite, Ahlfeldite, Chalcomenite",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Ahlfeldite,monoclinic crystal system (Q624543),,,,"Blockit, ein neues Selenerz aus Bolivien (Q98969565)",,,,,,,,,/m/026ct08,,,,,,,grandfathered mineral (G) (Q13406846),,,,,11740,,,,Ahlfeldite [Afe],Friedrich Ahlfeld (Q1440485),4.JH.10,4.JH.10,,,,,cobaltomenite (Q3681861),,space group P2₁/n (Q13365573),,,"['bright green (Q15141723)', 'white (Q23444)']",4.JH.10,IV/K.07,cobaltomenite mineral group (Q3777660),''P''2<sub>1</sub>/m,[[Monoclinic]],,,,,"Entity[""Mineral"", ""Ahlfeldite""]"
33,aikinite,,,,,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),{010} indistinct,,Aikinite,,3.4.5.1,,,,,Opaque,,,,,,,/m/083wyx,,,"6.1–6.8, Average = 6.44",,"Acicular, massive",,grandfathered mineral (G) (Q13406846),,313.0,Metallic,,"['63', '11745']",2-2.5,,575.92 g/mol,Aikinite [Aki],Arthur Aikin (Q708372),2.HB.05a,2.HB.05a,,Not radioactive,,,,,,aikinitt,Grayish black,,2.HB.05a,II/E.30,"['aikinite - bismuthinite sulfosalt series (Q18007218)', 'meneghinite mineral group (Q3777534)']",''Pnma'',[[Orthorhombic]],,,Berezovskoe gold deposit (Q12082171),"a = 11.297, b = 11.654 <br/>c = 4.061&nbsp;[Å], Z&nbsp;=&nbsp;4","Entity[""Mineral"", ""Aikinite""]"
34,aiolosite,,,,,,,,,Aiolosite,hexagonal crystal system (Q663314),,,,,,,,,,,,,,/g/11bwptpg78,,,,,IMA2008-015,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,,Aiolos (Q406388),7.BD.20,,,,,,,,,,,,,,hedyphane mineral group (Q3777583),,,,,La Fossa crater (Q23814805),,
35,ajoite,Measured: 68° to 80°,,,δ = 0.091,Bluish ajoite [[Inclusion (mineral)|inclusion]] in a colourless quartz crystal,Pinacoidal ( {{overline|1}} ) <br/><small>(same [[H-M symbol]])</small>,Perfect on {{mset|010}},,Ajoite,triclinic crystal system (Q376927),78.05.01.011,78.5.1.1,,"Ajoite, a new hydrous aluminum copper silicate (Q56424101)",,Translucent,,,,,,,/m/0d3536,,,2.96,,Sprays of bladed prismatic crystals,,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,2778663414,"['66', '11749']",{{frac|3|1|2}},,,'''Ajoite''' [Aj],Ajo (Q413082),9.EA.70,9.EA.70,Biaxial (+),,X: very light bluish green; Y and Z: brilliant bluish green,"n<sub>α</sub> = 1.550, n<sub>β</sub> = 1.583, n<sub>γ</sub> = 1.641",,Decomposed by acids,,,Greenish white,,9.EA.70 (10 ed) <br /><small>8/D.07-10 (8 ed)</small>,VIII/D.07,phyllosilicates (Q429681),''P'' {{overline|1}},[[Triclinic]],,,New Cornelia mine (Q7006696),"a = 13.63, b = 14.5 <br/>c = 13.62&nbsp;[Å]; α = 107.16° <br/>β = 105.45°, γ = 110.57°; Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Ajoite""]"
36,akaganeite,,,,,"A piece of the mineral akaganeite. Exhibit of the [[Earth and Man National Museum|""Earth and Man"" Museum]] in Sofia, Bulgaria. Discovered in Kaskasnyunchorr, [[Khibiny Massif]], [[Kola Peninsula]], [[Russia]]",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,,,Akaganeite,monoclinic crystal system (Q624543),,,,,,"Transparent, translucent",,,,,,,/m/08_fnq,,,3.52,,,IMA1962-004,"['approved mineral and/or valid name (A) (Q13406835)', 'approved mineral, renamed (Rn) (Q13406860)']",,,Earthy,2778597531,"['67', '11751']",,,,Akaganeite [Akg],Akagane mine (Q28843373),4.DK.05,4.DK.05,,,,,,,,,Brownish yellow,,4.DK.05,IV/F.06,oxide class of minerals (Q945532),''I2/m'',[[Monoclinic]],,,,"a = 10.561, b = 3.031 <br/>c = 10.483&nbsp;[Å]; β = 90.63°; Z&nbsp;=&nbsp;1",
37,akaogiite,,,,,,,,,,monoclinic crystal system (Q624543),,,,,,,,,,,,,,/g/11bwptmrh7,,,,,IMA2007-058,approved mineral and/or valid name (A) (Q13406835),,,,2780126515,,,,,,Masaki Akaogi (Q55646725),,,,,,,,,,,,,,,"['oxide class of minerals (Q945532)', 'titanium dioxide (Q193521)']",,,,,"['Nördlinger Ries (Q538553)', 'Otting (Q502887)', 'Amerdingen (Q430649)', 'Riesbürg (Q285812)']",,
38,akatoreite,,,,,,,,,Akatoreite,triclinic crystal system (Q376927),,57.2.3.1,,,,,,,,,,,/m/026pn0b,,,,,,IMA1969-015,approved mineral and/or valid name (A) (Q13406835),,,,,,,,,,Akatore Creek (Q32115846),9.BH.15,9.BH.15,,,,,,,space group P-1 (Q104519742),,,,,VIII/C.35,sorosilicates (Q11515488),,,,,,,"Entity[""Mineral"", ""Akatoreite""]"
39,akdalaite,,,,,,,,,,hexagonal crystal system (Q663314),,,,,,,,,,,,,/m/026pn0p,,,,,,IMA1969-002,approved mineral and/or valid name (A) (Q13406835),,,,2779404746,,,,,,Peski Akdala (Q27353846),4.FL.70,4.FL.05,,,,,,,,,,,,IV/F.09,nolanite mineral group (Q103839022),,,,,Kara-Oba tungsten-molybdenum deposit (Q28648965),,"Entity[""Mineral"", ""Akdalaite""]"
40,akermanite,,,,δ = 0.008,"Åkermanite (yellowish brown), [[calcite]] (blue), [[foshagite]] ([[hillebrandite]] variety, fibrous), [[tilleyite]] (creamy)",Scalenohedral ( {{overline|4}} 2m) <br/>[[H-M symbol]]: ( {{overline|4}} 2m),"Distinct on {001}, poor on {110}",,Åkermanite,tetragonal crystal system (Q503601),55.4.1.1 (8 ed),55.4.1.1,,,,"Transparent, translucent",,8369.0,science/akermanite,,,"Irregular/ uneven, conchoidal",/m/03cqk90,,,2.944,,,,grandfathered mineral (G) (Q13406846),,,"Vitreous, resinous",2778899072,11756,5 - 6,,,Åkermanite [Åk],Anders Richard Åkerman (Q86564122),9.BB.10,9.BB.10,Uniaxial (+),,,n<sub>ω</sub> = 1.632 n<sub>ε</sub> = 1.640,gehlenite (Q418483),,space group P-42₁m (Q15021066),,White,white (Q23444),9.BB.10,VIII/C.02,åkermanite-gehlenite series (Q18182641),''P'' {{overline|4}} 2<sub>1</sub>m,[[Tetragonal crystal system|Tetragonal]],Brittle,,,a = 7.8288(8) <br/>c = 5.0052(2)&nbsp;[Å]; Z&nbsp;=&nbsp;2,
41,akhtenskite,,,,,,[[Oxide mineral]],Distinct on {001},,,hexagonal crystal system (Q663314),,,,,,Opaque,,,,,,,/m/043m1m4,,,4.78 (calculated),,Flaky polycrystalline aggregates,IMA1982-072,approved mineral and/or valid name (A) (Q13406835),,,,,11758,,,,Akhtenskite [Akh],,4.DB.15b,4.DB.15b,Uniaxial,,,,,,,,Black,black (Q23445),4.DB.15b,IV/D.10,ramsdellite mineral group (Q12902855),Hexagonal <br/>[[H-M symbol]]: (6/m 2/m 2/m) <br/>[[Space group]]: ''P''6<sub>3</sub>/mmc,[[Hexagonal crystal system|Hexagonal]] <br/>Dihexagonal dipyramidal class,,,,"a = 2.84, c = 4.6&nbsp;[Å]; Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Akhtenskite""]"
42,akimotoite,,,,,,Rhombohedral ( {{overline|3}} ) <br/>[[H-M symbol]]: ( {{overline|3}} ),perfect (0001),,,trigonal crystal system (Q588274),,,,,,Transparent,,,,,,,/m/043pjv8,,,3.81(calculated),,,IMA1997-044,approved mineral and/or valid name (A) (Q13406835),,,[[vitreous lustre|vitreous]],,,,,,Akimotoite [Aki],Shun'ichi Akimoto (Q11595138),4.CB.05,9.DA.05,,,,,,,space group R-3 (Q15040797),,white or colorless,,4.CB.05,IV/C.05,ilmenite mineral group (Q3777599),''R'' {{overline|3}},[[Trigonal]],,,Tenham meteorite (Q7699844),"a = 4.7284, c = 13.5591&nbsp;[Å]; Z&nbsp;=&nbsp;6","Entity[""Mineral"", ""Akimotoite""]"
43,akrochordite,,,,,"Bright green, vitreous, cluster of [[eveite]] (under 0.5&nbsp;mm) and brown, subhedral akrochordite in a contrasting, pink, granular carbonate matrix",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"Perfect. On {010} , perfect; a second, perpendicular to the first.",,Akrochordite,monoclinic crystal system (Q624543),,,,"Akrochordit, ett nytt mineral från Långbans gruvor (Q108314542)",,Translucent,,,,,,,/m/07kb6z2,,,,,,,grandfathered mineral (G) (Q13406846),,,"Sub-Vitreous, resinous, dull",,11760,{{frac|3|1|2}},,,Akrochordite [Akr],,8.DD.10,8.DD.10,,,,,,,,,,,8.DD.10,VII/D.16,arsenate mineral (Q4796437),''P''2<sub>1</sub>/c,[[Monoclinic]],Brittle,,Långban (Q1002624),,"Entity[""Mineral"", ""Akrochordite""]"
44,aksaite,Measured = 88°; Calculated = 78°,,,δ = 0.055,,[[Nesoborates]],Distinct/Good; Probable on {100} and {010},,,orthorhombic crystal system (Q648961),26.6.4.1,,,,,Transparent to translucent,None,,,,,,/m/026pn21,,,,,,IMA1967 s.p.,approved mineral and/or valid name (A) (Q13406835),,,,,,2.5,,,Aksaite [Aks],Aksai valley (Q51157260),6.FA.05,6.FA.05,Biaxial (-),,,,,,,,White,white (Q23444),6.FA.05,V/H.17,nesoborate mineral subclass (Q13221579),Orthorhombic <br/>[[H-M symbol]]: (2/m 2/m 2/m) <br/>[[Space group]]: ''P''bca,[[Orthorhombic]] <br/>Dipyramidal class,,,Chelkar salt dome (Q26689982),,"Entity[""Mineral"", ""Aksaite""]"
45,aktashite,,,,,Gray aktashite is richly dispersed on matrix,Pyramidal (3) <br/>[[H-M symbol]]: (3),,,Aktashite,trigonal crystal system (Q588274),,,,,,,,,,,,,/m/07k63ms,,,,,,IMA2008 s.p.,"['redefined mineral (Rd) (Q13406872)', 'published without approval (N) (Q16219310)']",,,,,11764,,,1667.51 g/mol,Aktashite [Ats],Aktash (Q1150567),2.GA.30,2.GA.30,,,,,,,,,,,2.GA.30,II/C.12,nowackiite mineral group (Q3777771),''R3'',Trigonal,,,,,"Entity[""Mineral"", ""Aktashite""]"
46,alabandite,,,,,"Group of octahedral alabandite crystals partially coated with pink [[rhodochrosite]], from Uchucchacua Mine, Oyon, Lima, [[Peru]] (size: 60 mm x 59 mm x 46 mm, 204 g)",Hexoctahedral (m {{overline|3}} m) <br/>[[H-M symbol]]: (4/m {{overline|3}} 2/m),Perfect on {100},,Alabandite,,2.8.1.4,,,,,"Opaque, translucent in thin fragments",,,,,,"Irregular, uneven",/m/03d74_z,,,4.053,,mostly massive or granular; cubic or octahedral crystals to 1 cm,,grandfathered mineral (G) (Q13406846),,1413.0,Sub-metallic,2780613029,89,3.5 to 4,,,Alabandite [Abd],manganese sulfide (Q419893),2.CD.10,2.CD.10,Isotropic,,,n = 2.70,,,,,Green,green (Q3133),2.CD.10 (10 ed) <br /><small>II/C.15-30 (8 ed)</small>,II/C.15,"['galena mineral group (Q3777700)', 'manganese sulfide (Q419893)']",''F''m {{overline|3}} m,[[Cubic crystal system|Cubic]],Brittle,Lamellar {111},Săcărâmb (Q714125),a = 5.2236&nbsp;Å; Z&nbsp;=&nbsp;4,"Entity[""Mineral"", ""Alabandite""]"
47,alacranite,,,,0.1300,"Alacránite from former Kateřina Mine, Radvanice, Trutnov District, [[Czech Republic]] (1999)",Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,Imperfect on {100},,Alacránite,monoclinic crystal system (Q624543),,2.8.22.,,,,Transparent to translucent,,,,,,,/m/07kcv0h,,,3.4 - 3.46,,Equant grains,IMA1985-033,"['approved mineral and/or valid name (A) (Q13406835)', 'approved mineral, renamed (Rn) (Q13406860)']",,,"Vitreous, resinous, greasy",2781440739,"['91', '11785']",1.5,,,Alacranite [Acr],"Alacrán mine, Alacrán (Q23655678)",2.FA.20,2.FA.20,Biaxial (+),,,n<sub>α</sub> = 2.390(1) n<sub>γ</sub> = 2.520(2),bonazziite (Q19810684),,,,Yellow-orange,amber (Q679355),2.FA.20,II/F.02,sulfide class of minerals (Q927407),''P2/c'',[[Monoclinic]],Brittle,,"['Alacrán mine, Alacrán (Q23655678)', 'Uzon (Q1374401)']","a = 9.942, b = 9.601 <br/>c = 9.178&nbsp;[Å]; β = 101.94°; Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Alacranite""]"
48,alamosite,65° (meas.),,,δ = 0.021,Transparent crystals of alamosite in the matrix of [[leadhillite]] and [[melanotekite]],Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,{010} perfect,,Alamosite,monoclinic crystal system (Q624543),65.7.1.1,,,"Alamosite, a new lead silicate from Mexico (Q57317535)",,Transparent to translucent,,,,,,,/m/026h9b1,,,6.49,,,,grandfathered mineral (G) (Q13406846),,,Adamantine,,"['93', '11789']",4.5,,,Alamosite [Aam],,9.DO.20,9.DO.20,Biaxial (-),,,"n<sub>α</sub> = 1.947, n<sub>β</sub> = 1.961, n<sub>γ</sub> = 1.968",,,,,White,white (Q23444),9.DO.20,VIII/F.32,inosilicates (Q279440),''P''2/c,[[Monoclinic]],,,,"a = 11.209, b = 7.041 <br/>c = 12.22&nbsp;[Å]; β = 113.15°; Z&nbsp;=&nbsp;12","Entity[""Mineral"", ""Alamosite""]"
49,alarsite,,,,,Alarsite crystals found at Tolbachik,aluminium arsenate,,,Alarsite,trigonal crystal system (Q588274),,,,,,,,,,,,,/m/026d9cz,,,3.32.,,,IMA1993-003,approved mineral and/or valid name (A) (Q13406835),,,vitreous luster,,94,5-5.5,,,Alarsite [Ars],"['chemical composition (Q1263816)', 'aluminium (Q663)', 'arsenic (Q871)']",8.AA.05,8.AA.05,,,,nω = 1.596 and nε = 1.608.,,,,,,white (Q23444),,VII/A.01,"['berlinite mineral group (Q3777625)', 'arsenate mineral (Q4796437)', 'aluminium arsenate (Q4069946)']",''P3<sub>1</sub>21'' (no. 152) or ''P3<sub>2</sub>21'' (no. 154),trigonal,,,Great Fissure eruption (Q16627552),,"Entity[""Mineral"", ""Alarsite""]"
50,albite,85–90° (low); 52–54° (high),300209712,,δ = 0.010,{{ubl|Albite from Crete|(scale |=| |convert|1|in|abbr|=|on|)}} {{convert|1|in|abbr|=|on}} ),{{ubl|Pinacoidal (|overline|1|)|(same [[H-M symbol]])}} {{overline|1}} ),"Perfect on {001}, very good on {010}, imperfect on {110}",,Albite,triclinic crystal system (Q376927),,76.1.3.1,,Underfökning af nagra i grannskapet af Fahlun funna fossilier (Q34107163),"Mineral, Na-feldspar, Na-silicate, tectosilicate",Transparent to translucent,r < v weak,7533.0,"['science/albite', 'topic/peristerite', 'science/cleavelandite']",,,Uneven to conchoidal,/m/03_56p,,,2.60–2.65,1815335,"Crystals commonly tabular, divergent aggregates, granular, cleavable massive",,grandfathered mineral (G) (Q13406846),Albite,612.0,"Vitreous, typically pearly on cleavages",2775859737,"['96', '11794', '11795', '10463']",6–6.5,,,Albite [Ab],white (Q23444),9.FA.35,9.FA.35,Biaxial (+),Low- and high-temperature structural modifications are recognized,,n<sub>α</sub> = 1.528–1.533 n<sub>β</sub> = 1.532–1.537 n<sub>γ</sub> = 1.538–1.542,"['anorthite (Q244994)', 'moonstone (Q430034)']",,triclinic-pinacoidal (Q13365008),albitt,White,white (Q23444),9.FA.35,VIII/J.07,"['alkali feldspar (Q3735255)', 'plagioclase (Q714830)']",''C'' {{overline|1}},[[Triclinic]],Brittle,"Common giving polysynthetic striae on {001} or {010}also contact, simple and multiple",,"{{ubl|a |=| 8.16, b = 12.87|c |=| 7.11&nbsp;[Å]; α = 93.45°|β |=| 116.4°, γ = 90.28°; Z&nbsp;=&nbsp;4}}","Entity[""Mineral"", ""Albite""]"
51,albrechtschraufite,,,,,,,,,,triclinic crystal system (Q376927),,,,,,,,,,,,,/m/07kdtq_,,,,,,IMA1983-078,approved mineral and/or valid name (A) (Q13406835),,,,,,,"{'amount': '+2.75', 'unit': '1', 'upperBound': '+3', 'lowerBound': '+2.5'}",,,Albrecht Schrauf (Q2639955),5.ED.15,5.ED.15,,,,,,,,,,,,V/F.04,carbonate and nitrate class of minerals (Q1073138),,,,,Jáchymov (Q830418),,"Entity[""Mineral"", ""Albrechtschraufite""]"
52,aldermanite,,,01739582n,,,[[Phosphate minerals]],,,Aldermanite,orthorhombic crystal system (Q648961),,,,,,,,,,,,,/m/07kbj9j,,,2.1,,,IMA1980-044,"['approved mineral and/or valid name (A) (Q13406835)', 'redefined mineral (Rd) (Q13406872)']",,,,,"['104', '11811']",2,,,Aldermanite [Adm],Arthur Richard Alderman (Q15138588),8.DE.35,8.DE.35,,,,,,,,,,,,VII/D.17,phosphate class of minerals (Q3092395),,,,,,,"Entity[""Mineral"", ""Aldermanite""]"
53,aleksite,,,01739592n,,Alkesite on matrix,3m,,,Aleksite,trigonal crystal system (Q588274),,,,,,,,,,,,,/m/07kczgr,,,7.80,,,IMA1977-038,approved mineral and/or valid name (A) (Q13406835),,,metallic,,,2.5,"{'amount': '+2', 'unit': '1'}",,Aleksite [Alk],,2.GC.40a,2.GC.40a,,,,,,,,,pale green,,,II/D.12,sulfosalt subclass of minerals (Q416949),''P {{overline|3}} m1'' (no. 164),Trigonal,,,,,"Entity[""Mineral"", ""Aleksite""]"
54,alforsite,,,,δ = 0.000,"Alforiste, [[Scanning electron microscope|SEM]] (by Parvel M. Kartashov)",Dipyramidal (6/m) <br/>[[H-M symbol]]: (6/m),,,,hexagonal crystal system (Q663314),,,,,,Semitransparent,,,,,,,/m/01lqmx,,,4.73 - 4.80,,"Subhedral, fine grained masses",IMA1980-039,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,"['112', '11825']",5,,,Alforsite [Afr],John T. Alfors (Q29561706),8.BN.05,8.BN.05,Uniaxial (-),Intense violet [[cathodoluminescence]],,n<sub>ω</sub> = 1.700 n<sub>ε</sub> = 1.700,,,,,White,white (Q23444),8.BN.05,VII/B.39,apatite mineral group (Q3777546),''P''6<sub>3</sub>/m,[[Hexagonal crystal system|Hexagonal]],,,"['Big creek (Q4905491)', 'Esquire No. 7 claim (Q26883434)']","a = 10.25, c = 7.64&nbsp;[Å]; <br/>Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Alforsite""]"
55,algodonite,,,,,"Algodonite - Houghton County, Michigan, USA",Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m),,,Algodonite,,,,,,,Opaque,,,science/algodonite,,,Sub-conchoidal,/m/08080p,,,"8.38 (measured), 8.72 (calculated)",,"Massive, granular. Common texture observed in granite and other igneous rock",,grandfathered mineral (G) (Q13406846),,,Metallic,,"['114', '11829']",4,,456.2 g/mol,Algodonite [Ago],Mineral Liga de Los Algodones (Q23636824),2.AA.10a,2.AA.10a,,"Non-magnetic, non-fluorescent",,,,,,,,,2.AA.10a,II/A.01,sulfide class of minerals (Q927407),''P''6<sub>3</sub>/mmc,[[Hexagonal crystal system|Hexagonal]],,,Mineral Liga de Los Algodones (Q23636824),"a = 2.6, c = 4.228&nbsp;[Å]; Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Algodonite""]"
56,aliettite,,,,,Aliettite,[[Phyllosilicates]],,,Aliettite,monoclinic crystal system (Q624543),,,,,,Translucent,,,science/aliettite,,,,/m/026pmx6,,,,,Platy,,"['redefined mineral (Rd) (Q13406872)', 'published without approval (N) (Q16219310)']",,,Earthy (dull),2780340824,,1–2,,,Aliettite [Ali],Andrea Alietti (Q51347274),9.EC.60,9.EC.60,,,,1.558–1.567,,,,,White,white (Q23444),9.EC.60,VIII/H.18,"['smectite mineral group (Q3777818)', 'corrensite mineral group (Q18818560)']",,[[Hexagonal crystal system|Hexagonal]] <br/>Unknown space group,,,,"a = 5.216, c = 24.6&nbsp;[Å]; Z&nbsp;=&nbsp;1","Entity[""Mineral"", ""Aliettite""]"
57,allabogdanite,,,,,,Dipyramidal (mmm) <br/>[[H-M symbol]]: (2/m 2/m 2/m),,,,orthorhombic crystal system (Q648961),,,,,,Opaque,,,,,,,/m/07khnvv,,,7.11,,Minute exolution laminae in [[plessite]],IMA2000-038,approved mineral and/or valid name (A) (Q13406835),,,Metallic,2778685439,11008,5-6,,,Allabogdanite [Abg],Alla N. Bogdanova (Q50111282),1.BD.15,1.BD.15,,,,,,,,,,,1.BD.15,I/A.11,barringerite mineral group (Q58887610),''Pnma'',[[Orthorhombic]],Brittle,,Onello (Q23758133),"a = 5.748, b = 3.548 <br/>c = 6.661&nbsp;[Å]; Z&nbsp;=&nbsp;4","Entity[""Mineral"", ""Allabogdanite""]"
58,allactite,~0°,,,,Picture width 3 mm,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"Distinct, {001}",,Allactite,monoclinic crystal system (Q624543),41.2.1.1,,,"Allaktit, ett nytt manganarseniat från Mossgrufvan å Nordmarksfältet (Q40931286)",,,,,,,,Uneven,/m/07k459q,,,"3.83 (meas.), 3.94 (calc.)",,"Elongated prisms, bladed, tabular, rosette-like aggregates",IMA1980 s.p.,approved mineral and/or valid name (A) (Q13406835),,,"Vitreous, slightly greasy on fracture surfaces",,,4.5,,,Allactite,,8.BE.30,8.BE.30,Biaxial (-),,X = blood-red; Y = pale yellow; Z = sea-green,n<sub>α</sub> = 1.755–1.761<br/> n<sub>β</sub> = 1.772–1.786<br/> n<sub>γ</sub> = 1.774–1.787,,,,,Gray to faint brown,,8.BE.30,VII/B.15,allactite mineral group (Q12902842),''P''2<sub>1</sub>/a,[[Monoclinic]],Brittle,,"Moss mine, Nordmark Odal field (Q26985023)","a = 11.03, b = 12.12 <br/>c = 5.51&nbsp;[Å], β = 114°, Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Allactite""]"
59,allanpringite,48° (calc.),,,0.085,Picture width 4 mm,Prismatic (2/m) <br/><small>(same [[H-M symbol]])</small>,"{hk0} perfect, {010} good",,Allanpringite,monoclinic crystal system (Q624543),42.10.02.02,,,,Phosphate mineral,Translucent to transparent,,,,,,Irregular/uneven,/m/0h961ct,,,"2.54 (meas.), 2.583 (calc.)",,Acicular,IMA2004-050,approved mineral and/or valid name (A) (Q13406835),,,Vitreous,,,3,"{'amount': '+3', 'unit': '1'}",498.07 g/mol,Allanpringite,Allan Pring (Q13671457),8.DC.50,8.DC.50,Biaxial (+),,,n<sub>α</sub> = 1.662<br/> n<sub>β</sub> = 1.675<br/> n<sub>γ</sub> = 1.747,,,space group P2₁/n (Q13365573),,Pale yellowish white,,8.DC.50,VII/D.11,phosphate class of minerals (Q3092395),''P''2<sub>1</sub>/n,[[Monoclinic]],Brittle,,,"a = 9.777, b = 7.358 <br/>c = 17.83&nbsp;[Å]; β = 92.19°; Z&nbsp;=&nbsp;4",
60,allargentum,,,,,Allargentum on carbonate; size 3.2×2.7×1.4 cm,Dihexagonal dipyramidal (6/mmm) <br/>[[H-M symbol]]: (6/m 2/m 2/m),,,Allargentum,hexagonal crystal system (Q663314),02.02.01.02,,,Neue Erzmineralien (Q64176096),,Opaque,,,,,,,/m/07k5xfc,,,"10.0 (meas.), 10.12 (calc.)",,,IMA1970 s.p.,redefined mineral (Rd) (Q13406872),,,Metallic,,,4,,,Allargentum,silver (Q1090),2.AA.30,2.AA.30,,,,,,,,allargentum,,,2.AA.30,II/A.02,sulfide class of minerals (Q927407),''P''6<sub>3</sub>/mmc,Hexagonal,,,,"a = 2.945, c = 4.77&nbsp;[Å], Z&nbsp;=&nbsp;2","Entity[""Mineral"", ""Allargentum""]"
