,Chemical Formula,Composition,Empirical Formula,Environment,IMA Status,Locality,Name Origin,Name Pronunciation,Synonym,Cell Dimensions,Cleavage,Color,Density,Diaphaneity,Fracture,Habit,Hardness,Luster,Fermion Index,Photoelectric,Radioactivity,Dana Class,Strunz Class,References,Mineral name,Streak,Gladstone-Dale,Optical Data
148, (NH4)Al3(SO4)2(OH)6, Molecular Weight = 393.15 gm, (NH4)Al3(SO4)2(OH)6, Acidic hot springs with temperatures below 100 deg C and low potassium content of the waters., Approved IMA 1987," The Geysers, Sonoma County, California, USA. Link to MinDat.org Location Data."," Named for its composition (Ammonia, Al,).", Ammonioalunite + Pronunciation,," a = 7.013, c = 17.885, Z = 3; V = 761.78 Den(Calc)= 2.57", {???} Good," Gray white, White.", 2.4, Transparent to Translucent,, Rhombohedral Crystals - Occurs as well-formed crystals showing rhobohedral crystals., 2-3 - Gypsum-Calcite, Vitreous (Glassy)," Fermion Index = 0.03
Boson Index = 0.97"," PEAmmonioalunite = 1.62 barns/electron
U=PEAmmonioalunite x rElectron Density= 4.24 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Ammonioalunite is Not Radioactive", 30.02.04.06 (30)Anhydrous Sulfates Containing Hydroxyl or Halogen," 07.BC.10 07 - SULFATES (SELENATES, TELLURATES)"," NAME( Dana8) PHYS. PROP.(Dana8) OPTIC PROP.(Am.Min.,Vol.73,p145-152,1988)",Ammonioalunite, white," CI meas= -0.246 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.163 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2319,KPDmeas= 0.2483,KC= 0.1994
Ncalc = 1.48 - 1.51"," Uniaxial (+), w=1.59, e=1.602, bire=0.0120."
149, (NH4)2B10O16•5(H2O), Molecular Weight = 490.24 gm, (NH4)2B10O16•5(H2O), Boric acid-rich fumarolic lagoons., Valid Species (Pre-IMA) 1931," Larderello, Val di Cecina, Tuscany, Italy. Link to MinDat.org Location Data."," Named for its composition, ammonium borate.", Ammonioborite + Pronunciation, ICSD 23532," a = 25.27, b = 9.65, c = 11.56, Z = 6; beta = 94.287° V = 2,811.08 Den(Calc)= 1.74", None, White., 1.765, Translucent,,,,," Fermion Index = 0.1
Boson Index = 0.9"," PEAmmonioborite = 0.33 barns/electron
U=PEAmmonioborite x rElectron Density= 0.60 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Ammonioborite is Not Radioactive", 26.05.03.01 (26)Hydrated Borates Containing Hydroxyl or Halogen, 06.EA.15 06 - BORATES," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Ammonioborite, white," CI meas= -0.314 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.333 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2868,KPDmeas= 0.2827,KC= 0.2151
Ncalc = 1.37 - 1.38"," Biaxial (+), a=1.47, b=1.487, g=1.54, bire=0.0700, 2V(Calc)=62, 2V(Meas)=60."
150, (NH4)Fe+++3(SO4)2(OH)6, Molecular Weight = 479.75 gm, (NH4)Fe3+3(SO4)2(OH)6, Formed in black lignitic shales containing pyrite., Valid Species (Pre-IMA) 1927," Undefined locality on the ""west side of the Kaibab fault, Kane Co., Utah"". Link to MinDat.org Location Data.", Named as the ammonium analog of jarosite., Ammoniojarosite + Pronunciation,," a = 7.2, c = 17, Z = 3; V = 763.21 Den(Calc)= 3.13",, Yellow., 3.02, Transparent,,, 3.5-4.5 - Between Copper Penny and Fluorite-Apatite, Earthy (Dull)," Fermion Index = 0.03
Boson Index = 0.97"," PEAmmoniojarosite = 11.07 barns/electron
U=PEAmmoniojarosite x rElectron Density= 33.31 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Ammoniojarosite is Not Radioactive", 30.02.05.04 (30)Anhydrous Sulfates Containing Hydroxyl or Halogen," 07.BC.10 07 - SULFATES (SELENATES, TELLURATES)"," NAME( AntBidBlaNic5) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Ammoniojarosite, light yellow," CI meas= -0.008 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.028 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2476,KPDmeas= 0.2566,KC= 0.2547
Ncalc = 1.77 - 1.8"," Uniaxial (-), e=1.75, w=1.8, bire=0.0500."
151," (NH4,K)AlSi2O6", Molecular Weight = 202.45 gm, (NH4)0.75K0.25AlSi2O6," In veinlets, fractures, and cavities in hydrothermally altered crystalline schist, as powdery pseudomorphous replacements of analcime crystals.", Approved IMA 1984," In the Tatarazawa quarry, Fujioka, Gumma Prefecture, Japan. Link to MinDat.org Location Data."," For ""ammonia"" in its chemical composition and its relation to ""leucite.""", Ammonioleucite + Pronunciation, ICSD 54162," a = 13.214, c = 13.713, Z = 16; V = 2,394.42 Den(Calc)= 2.25",, White., 2.29, Translucent,,, 5.5-6 - Knife Blade-Orthoclase, Vitreous - Resinous," Fermion Index = 0.06
Boson Index = 0.94"," PEAmmonioleucite = 1.93 barns/electron
U=PEAmmonioleucite x relectron= 4.46 barns/cc.","
GRapi = 70.20 (Gamma Ray American Petroleum Institute Units)
Concentration of Ammonioleucite per GRapi unit = 1.42 (%)
Estimated Radioactivity from Ammonioleucite - barely detectable", 76.02.02.02 (76)Tectosilicate Al-Si Framework, 09.GB.05 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Am.Min.,Vol.71,p1022-1027,1986) OPTIC PROP.(Am.Min.,Vol.71,p1022-1027,1986)",Ammonioleucite, white," CI meas= -0.21 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.231 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2302,KPDmeas= 0.2262,KC= 0.187
Ncalc = 1.42 - 1.43"," Uniaxial (+), w=1.518, e=1.518, bire=0.0000."
152, (NH4)2SnCl6, Molecular Weight = 371.89 gm, (NH4)1.9K0.1Sn0.99Cl5.94Br0.07, Found in a medium-temperature intracrater fumarole (~250°C)., Approved IMA 2008 (Dana # Added)," La Fossa crater, Vulcano, Aeolian Islands, Italy. Link to MinDat.org Location Data."," Named for Ugo Panichi, a pioneer in the study of minerals from Vulcano.",, Ammonium hexachlorostannate," a = 10.064, Z = 4; V = 1,019.32 Den(Calc)= 2.42", None," Colorless, White, Very pale yellow.", 2.43, Transparent,, Octahedral Crystals - Occurs as octahedral shaped crystals.,, Vitreous (Glassy)," Fermion Index = 0.12
Boson Index = 0.88"," PEPanichiite = 97.30 barns/electron
U=PEPanichiite x relectron= 222.53 barns/cc.","
GRapi = 14.36 (Gamma Ray American Petroleum Institute Units)
Concentration of Panichiite per GRapi unit = 6.97 (%)
Estimated Radioactivity from Panichiite - barely detectable", 11.05.08.04 (11)Halide Complexes; Alumino-fluorides, 03.AA. 03 - HALIDES,,Panichiite, white,," Isotropic, n=1.68."
153, [ ]Fe++7Si8O22(OH)2," Molecular Weight = 1,001.61 gm", Fe2+7(Si8O22)(OH)2,, Valid Species (Pre-IMA) 1853, Link to MinDat.org Location Data.," Named for Louis Emmanuel Gruner (1809-1883), Swiss-French chemist who analyzed the mineral.", Grunerite + Pronunciation, Amosite," a = 9.57, b = 18.22, c = 5.33, Z = 2; beta = 102.1° V = 908.72 Den(Calc)= 3.66"," {110} Perfect, {???} Distinct"," Ashen, Brown, Brownish green, Dark gray."," 3.4 - 3.5, Average = 3.45", Translucent to opaque, Sub Conchoidal - Fractures developed in brittle materials characterized by semi-curving surfaces., Massive - Uniformly indistinguishable crystals forming large masses., 5-6 - Between Apatite and Orthoclase, Vitreous - Pearly," Fermion Index = 0.01
Boson Index = 0.99"," PEGrunerite = 12.52 barns/electron
U=PEGrunerite x rElectron Density= 42.08 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Grunerite is Not Radioactive"," 66.01.01.03 (66)Inosilicate Double-Width Unbranched Chains, W=2", 09.DE.05 09 - SILICATES (Germanates)," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Heinrich65)",Grunerite, colorless," CI meas= -0.004 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.054 (Good) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1896,KPDmeas= 0.2011,KC= 0.2003
Ncalc = 1.68 - 1.73"," Biaxial (-), a=1.663-1.686, b=1.68-1.709, g=1.696-1.729, bire=0.0330-0.0430, 2V(Calc)=84-86, 2V(Meas)=90-70. Dispersion r > v."
154, KAlSi2O6, Molecular Weight = 218.25 gm, KAl(Si2O6), Acid volcanic rocks., Valid Species (Pre-IMA) 1791," Bearpaw Mountains., Montana, USA. Link to MinDat.org Location Data."," From the Greek leukos - ""white.""", Leucite, Amphigene," a = 13.09, c = 13.75, Z = 16; V = 2,356.04 Den(Calc)= 2.46", {110} Indistinct," Colorless, Gray, Yellow gray, White.", 2.47, Translucent to transparent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Crystalline - Coarse - Occurs as well-formed coarse sized crystals., 6 - Orthoclase, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PELeucite = 3.14 barns/electron
U=PELeucite x relectron= 7.67 barns/cc.","
GRapi = 255.81 (Gamma Ray American Petroleum Institute Units)
Concentration of Leucite per GRapi unit = 0.39 (%)
Estimated Radioactivity from Leucite - barely detectable", 76.02.02.01 (76)Tectosilicate Al-Si Framework, 09.GB.05 09 - SILICATES (Germanates)," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Mason68)",Leucite, white," CI meas= -0.006 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.01 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2072,KPDmeas= 0.2064,KC= 0.2052
Ncalc = 1.5 - 1.51"," Isotropic, n=1.508-1.511."
155," CaAl(Si,Al)4O8(OH)4•((H2O),Cl)", Molecular Weight = 398.85 gm, CaAl1.8Si3.3O8(OH)4(H2O)0.8Cl0.2," In open fissures cutting pegmatitic schlieren, in hydrothermally altered graphite-bearing metamorphic rocks.", Approved IMA 1987," In the Amstall graphite quarry, Amstall, Austria. Link to MinDat.org Location Data.", For the locality., Amstallite + Pronunciation, ICSD 68350," a = 18.83, b = 11.517, c = 5.19, Z = 4; beta = 100.86° V = 1,105.37 Den(Calc)= 2.40", {100} Good, Colorless., 2.4, Transparent to Translucent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 4 - Fluorite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEAmstallite = 2.61 barns/electron
U=PEAmstallite x rElectron Density= 6.31 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Amstallite is Not Radioactive", 72.01.04.01 (72)Phyllosilicate Two-Dimensional Infinite Sheets with Other Than Six-Membered Rings, 09.DP.25 09 - SILICATES (Germanates)," NAME( AntBidBlaNic2) PHYS. PROP.(Am.Min.,Vol.73,p1492,1988) OPTIC PROP.(Am.Min.,Vol.73,p1492,1988)",Amstallite, white," CI meas= 0.027 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.027 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2229,KPDmeas= 0.2229,KC= 0.2292
Ncalc = 1.55"," Biaxial (+), a=1.533, b=1.534, g=1.538, bire=0.0050, 2V(Calc)=54, 2V(Meas)=57-59. Dispersion r > v weak."
156, NaAlSi2O6•(H2O), Molecular Weight = 220.15 gm, NaAl(Si2O6)•(H2O), Occurs frequently in basalts and other basic igneous rocks associated with other zeolites., Valid Species (Pre-IMA) 1801," From near Catanes, Cyclopean Isles, Italy. Link to MinDat.org Location Data."," From the Greek word meaning weak, referring to a weak electrical charge developed on rubbing.", Analcime, Analcidite," a = 13.71, b = 13.7044, c = 13.7063, Z = 16; alpha = 90.158°, beta = 89.569°, gamma = 89.543° V = 2,575.08 Den(Calc)= 2.27"," {001} Indistinct, {010} Indistinct, {100} Indistinct"," White, Grayish white, Greenish white, Yellowish white, Reddish white.", 2.3, Transparent to Subtransparent to translucent, Sub Conchoidal - Fractures developed in brittle materials characterized by semi-curving surfaces., Massive - Uniformly indistinguishable crystals forming large masses., 5 - Apatite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEAnalcime = 1.52 barns/electron
U=PEAnalcime x rElectron Density= 3.45 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Analcime is Not Radioactive", 77.01.01.01 (77)Tectosilicate Zeolite group, 09.GB.05 09 - SILICATES (Germanates),,Analcime, white," CI meas= 0.021 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.008 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2143,KPDmeas= 0.2115,KC= 0.216
Ncalc = 1.49 - 1.5"," Biaxial (?), a=1.479-1.493, g=1.48-1.494, bire=0.0010"
157," (Ba,K)(Fe++,Mg)3(Si,Al,Fe)4O10(S,OH)2", Molecular Weight = 593.15 gm, Ba0.75K0.25Fe2+2.25Mg0.75Si3Al0.7Fe3+0.3O10S1.5(OH)0.5, Found in banded iron ores., Approved IMA 1967," Wilagedera prospect, North Western Province, Sri Lanka. Link to MinDat.org Location Data."," Named for Ananda Kentish Coomaraswamy (1877-1947), first director of the Mineral Survey of Ceylon (Sri Lanka).", Anandite,," a = 5.412, b = 9.434, c = 19.953, Z = 4; beta = 94.87° V = 1,015.06 Den(Calc)= 3.88", {001} Perfect, Black., 3.94, Subtranslucent to opaque, Flexible - Flexible fragments., Massive - Uniformly indistinguishable crystals forming large masses., 3-4 - Calcite-Fluorite, Vitreous (Glassy)," Fermion Index = 0.04
Boson Index = 0.96"," PEAnandite = 81.99 barns/electron
U=PEAnandite x relectron= 306.77 barns/cc.","
GRapi = 22.57 (Gamma Ray American Petroleum Institute Units)
Concentration of Anandite per GRapi unit = 4.43 (%)
Estimated Radioactivity from Anandite - barely detectable", 71.02.02c.04 (71)Phyllosilicate Sheets of Six-Membered Rings, 09.EC.35 09 - SILICATES (Germanates), NAME( Dana8) PHYS. PROP.(Dana) OPTIC PROP.(Dana8),Anandite, gray white," CI meas= -0.216 (Poor) - where the CI = (1-KPDmeas/KC)
CI calc= -0.235 (Poor) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2236,KPDmeas= 0.2202,KC= 0.1811
Ncalc = 1.7 - 1.71"," Biaxial (+), a=1.855, g=1.88, bire=0.0250, 2V(Meas)=0."
158, Ca2Fe++(PO4)2•4(H2O), Molecular Weight = 398.01 gm, Ca2Fe2+(PO4)2•4(H2O)," In oolitic iron ore, and in the stems of fossil trees (Anapa, Russia); in lacustrine sediments.", Valid Species (Pre-IMA) 1910," In Russia, at an iron mine on Cape Zheleznyi Rog, near Anapa, Taman Peninsula. As fine specimens at Kerch, Crimean Peninsula, Ukrain. Link to MinDat.org Location Data."," For its discovery near Anapa, Russia.", Anapaite, ICSD 200477," a = 6.41, b = 6.88, c = 5.86, Z = 1; alpha = 101.583°, beta = 104.09°, gamma = 71.055° V = 232.25 Den(Calc)= 2.85"," {???} Perfect, {???} Distinct"," White, Green."," 2.8 - 2.81, Average = 2.8", Transparent,, Tabular - Form dimensions are thin in one direction., 3-4 - Calcite-Fluorite, Vitreous (Glassy)," Fermion Index = 0.003481179
Boson Index = 0.996518821"," PEAnapaite = 7.30 barns/electron
U=PEAnapaite x rElectron Density= 20.63 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Anapaite is Not Radioactive"," 40.02.01.01 (40)Hydrated Phosphates, etc"," 08.CH.10 08 - PHOSPHATES, ARSENATES, VANADATES"," NAME( AntBidBlaNic4) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Enc. of Minerals,2nd ed.,1990)",Anapaite, white," CI meas= -0.007 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= -0.005 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2211,KPDmeas= 0.2215,KC= 0.2199
Ncalc = 1.62"," Biaxial (+), a=1.602, b=1.613, g=1.649, bire=0.0470, 2V(Calc)=60, 2V(Meas)=54."
159, TiO2, Molecular Weight = 79.88 gm, TiO2," Usually secondary, derived from other Ti-bearing minerals. Common as a detrital mineral.", Valid Species (Pre-IMA) 1801," St. Christophe, Bourg-d'Oisans, Isère, France. Link to MinDat.org Location Data."," From the Greek, anatasis - ""elongation.""", Anatase, ICSD 9852," a = 3.793, c = 9.51, Z = 4; V = 136.82 Den(Calc)= 3.88"," {101} Perfect, {001} Distinct"," Black, Reddish brown, Yellowish brown, Dark blue, Gray.", 3.9, Transparent to translucent," Conchoidal - Fractures developed in brittle materials characterized by smoothly curving surfaces, (e.g. quartz).", Tabular - Form dimensions are thin in one direction., 5.5-6 - Knife Blade-Orthoclase, Adamantine - Resinous," Fermion Index = 0.07
Boson Index = 0.93"," PEAnatase = 10.03 barns/electron
U=PEAnatase x rElectron Density= 37.04 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Anatase is Not Radioactive", 04.04.04.01 (04)Simple Oxides," 04.DD.05 04 - OXIDES (Hydroxides, V[5,6] vanadates, arsenites, antimonites, bismuthites, sulfites, selenites, tellurites, iodate"," NAME( Duda&Rejl90) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(AntBidBlaNic3)",Anatase, pale yellowish white," CI meas= 0.005 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0 (Superior) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.3929,KPDmeas= 0.3909,KC= 0.393
Ncalc = 2.52 - 2.53"," Uniaxial (-), e=2.488, w=2.561, bire=0.0730."
160, SrCe(CO3)2(OH)•(H2O), Molecular Weight = 382.78 gm, SrCe(CO3)2(OH)•(H2O),, Valid Species (Pre-IMA) 1899," Narsarsuk, Greenland. Link to MinDat.org Location Data."," Named for the composition and from the Greek ""curved,"" in allusion to the rounded and distorted character of the crystals.", Ancylite-(Ce), ICSD 4242," a = 5.03, b = 8.53, c = 7.29, Z = 2; V = 312.78 Den(Calc)= 4.06", None," Brown, Brown red, Colorless, Gray, Gray pink.", 3.9, Transparent to translucent, Brittle - Generally displayed by glasses and most non-metallic minerals., Pyramidal - Crystals are shaped like pyramids., 4.5 - Between Fluorite and Apatite, Vitreous - Greasy," Fermion Index = 0.01
Boson Index = 0.99"," PEAncylite-(Ce) = 211.38 barns/electron
U=PEAncylite-(Ce) x relectron= 753.79 barns/cc.",, 16b.01.01.01 (16b)Carbonates - Hydroxyl or Halogen, 05.DC.05 05 - CARBONATES (NITRATES)," NAME( Ford32) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Ford32)",Ancylite-(Ce), white," CI meas= -0.015 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.025 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1691,KPDmeas= 0.1761,KC= 0.1735
Ncalc = 1.68 - 1.7"," Biaxial (-), a=1.625, b=1.7, g=1.735, bire=0.1100, 2V(Calc)=66, 2V(Meas)=66."
161," Sr(La,Ce)(CO3)2(OH)•(H2O)", Molecular Weight = 381.87 gm, SrLa0.75Ce0.25(CO3)2(OH)•(H2O), In hydrothermal veins in nepheline syenites., Approved IMA 1998 (Dana # Added)," Marchenko Peak, Mount Kukisvumchorr, Khibina massif, Kola Peninsula, Russia. Link to MinDat.org Location Data."," Named for the composition and from the Greek ""curved,"" in allusion to the rounded and distorted character of the crystals.", Ancylite-(La), IMA1995-053," a = 5.072, b = 8.589, c = 7.276, Z = 2; V = 316.97 Den(Calc)= 4.00", None," Yellow, Yellowish brown.", 3.88, Translucent," Brittle - Conchoidal - Very brittle fracture producing small, conchoidal fragments.", Pyramidal - Crystals are shaped like pyramids., 4-4.5 - Between Fluorite and Apatite, Vitreous (Glassy)," Fermion Index = 0.01
Boson Index = 0.99"," PEAncylite-(La) = 201.59 barns/electron
U=PEAncylite-(La) x relectron= 713.81 barns/cc.",, 16b.01.01.05 (16b)Carbonates - Hydroxyl or Halogen, 05.DC.05 05 - CARBONATES (NITRATES)," NAME( MinRec) PHYS. PROP.(Am.Min.,Vol.83,p652,1998) OPTIC PROP.(MinRec)",Ancylite-(La), white," CI meas= -0.002 (Superior) - where the CI = (1-KPDmeas/KC)
CI calc= 0.028 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.1699,KPDmeas= 0.1752,KC= 0.1749
Ncalc = 1.68 - 1.7"," Biaxial (+), a=1.64, b=1.668, g=1.731, bire=0.0910, 2V(Calc)=70, 2V(Meas)=70. Dispersion r < v moderate."
162, Al2SiO5 = Al[6]Al[5]OSiO4, Molecular Weight = 162.05 gm, Al2SiO5, Metamorphosed peri-aluminous sedimentary rocks., Valid Species (Pre-IMA) 1789," Andalucia (Spain), an early but now unimportant location. Link to MinDat.org Location Data.", Named after its locality., Andalusite + Pronunciation, Chiastolite," a = 7.79, b = 7.9, c = 5.56, Z = 4; V = 342.17 Den(Calc)= 3.15"," {110} Distinct, {100} Indistinct, {010} Poor"," Dark green, Gray, Brown, Red, Green."," 3.13 - 3.17, Average = 3.15", Transparent to translucent," Splintery - Thin, elongated fractures produced by intersecting good cleavages or partings (e.g. hornblende).", Prismatic - Crystals Shaped like Slender Prisms (e.g. tourmaline)., 6.5-7 - Pyrite-Quartz, Vitreous (Glassy)," Fermion Index = 0.0083309363
Boson Index = 0.9916690637"," PEAndalusite = 1.64 barns/electron
U=PEAndalusite x rElectron Density= 5.10 barns/cc."," GRapi = 0 (Gamma Ray American Petroleum Institute Units)
Andalusite is Not Radioactive"," 52.02.02b.01 (52)Nesosilicate Insular SiO4 Groups and O, OH, F, and H2O", 09.AF.10 09 - SILICATES (Germanates),,Andalusite, white," CI meas= 0.022 (Excellent) - where the CI = (1-KPDmeas/KC)
CI calc= 0.022 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.2029,KPDmeas= 0.2029,KC= 0.2074
Ncalc = 1.65 - 1.66"," Biaxial (-), a=1.629-1.64, b=1.633-1.644, g=1.638-1.65, bire=0.0090-0.0100, 2V(Calc)=80-84, 2V(Meas)=48-68. Dispersion r > v."
163, Na2Ca(UO2)(CO3)3•6(H2O), Molecular Weight = 644.20 gm, Na2Ca(UO2)(CO3)3•6(H2O), Sandstone-hosted uranium deposits., Valid Species (Pre-IMA) 1948," Hillside mine, Bagdad, Yavapai County, Arizona, USA. Link to MinDat.org Location Data."," Named for Charles Alfred Anderson (1902-1990), U. S. Geological Survey.", Andersonite + Pronunciation, ICSD 15533," a = 18.009, c = 23.838, Z = 18; V = 6,695.45 Den(Calc)= 2.88",," Bright yellow green, Green."," 2.79 - 2.87, Average = 2.83", Transparent to Translucent,, Rhombohedral Crystals - Occurs as well-formed crystals showing rhobohedral crystals., 2.5 - Finger Nail, Vitreous - Pearly," Fermion Index = 0.003565088
Boson Index = 0.996434912"," PEAndersonite = 901.12 barns/electron
U=PEAndersonite x relectron=2,417.14 barns/cc.",, 15.02.05.01 (15)Hydrated Carbonates, 05.ED.30 05 - CARBONATES (NITRATES)," NAME( Dana8) PHYS. PROP.(Enc. of Minerals,2nd ed.,1990) OPTIC PROP.(Dana8)",Andersonite,," CI meas= -0.048 (Good) - where the CI = (1-KPDmeas/KC)
CI calc= -0.029 (Excellent) - where the CI = (1-KPDcalc/KC)
KPDcalc= 0.184,KPDmeas= 0.1873,KC= 0.1788
Ncalc = 1.5 - 1.51"," Uniaxial (+), w=1.52, e=1.54, bire=0.0200."
